Sequence,DELF [kp:1024; match:nn],SuperPoint [kp:1024; match:nn]
BM,0.19717499999999996,0.4965333333333334
FCS,0.3064388888888889,0.40574722222222226
LMS,0.28742222222222225,0.6547222222222222
LB,0.22411111111111104,0.6756194444444442
MC,0.3072055555555556,0.5615583333333333
MR,0.11916666666666664,0.4602416666666667
PSM,0.08480555555555559,0.33144444444444443
RS,0.2155861111111111,0.42070277777777776
SF,0.10321388888888887,0.48577222222222216
SPC,0.32328611111111105,0.580125
USC,0.13631388888888885,0.19827777777777775
Avg,0.20952045454545454,0.47915858585858584
