Sequence,DELF [kp:2048; match:nn],SIFT + GeoDesc [kp:2048; match:nn],SIFT + HardNet [kp:2048; match:nn],SIFT + Scale-invariant desc. (L) [kp:2048; match:nn],SIFT (OpenCV) [kp:2048; match:nn],Superpoint (nn matcher) [kp:2048; match:nn],Superpoint (1:1 matcher) [kp:2048; match:nn1to1],SuperPoint (default) [kp:2048; match:nn],SuperPoint [kp:2048; match:nn],SIFT + Scale-invariant desc. (C) [kp:2048; match:nn],SuperPoint (trained on coco + phototourism training set) [kp:2048; match:nn],SuperPoint + Custom Matcher (v1) [kp:2048; match:custom],SuperPoint + Custom Matcher (v2) [kp:2048; match:custom]
BM,0.22401666666666656,0.38155277777777763,0.3792472222222222,0.3693861111111111,0.28768611111111103,0.47412500000000013,0.5481666666666665,0.5024416666666667,0.4766305555555556,0.3838222222222221,0.5427611111111111,0.7989194444444444,0.8001194444444444
FCS,0.3915833333333334,0.6129,0.6317527777777779,0.5798722222222223,0.45919444444444446,0.6013527777777777,0.7246166666666666,0.44710000000000016,0.4629500000000001,0.6662944444444445,0.5838166666666667,0.7185,0.7447083333333334
LMS,0.34245833333333336,0.7356222222222223,0.7021083333333333,0.6645194444444446,0.4573166666666668,0.7416472222222222,0.8188861111111111,0.6637805555555557,0.6115166666666669,0.7167611111111114,0.7062944444444446,0.7405500000000002,0.7390472222222222
LB,0.22365555555555544,0.29475833333333334,0.28146666666666664,0.42589166666666667,0.2290361111111111,0.6340916666666666,0.7303277777777776,0.6641611111111109,0.6478638888888886,0.32124444444444444,0.6544333333333332,0.8664499999999997,0.8671249999999999
MC,0.3441611111111111,0.5125194444444445,0.5304555555555555,0.5996472222222221,0.3163361111111111,0.6871305555555556,0.735772222222222,0.5797472222222221,0.588583333333333,0.5520972222222224,0.6464833333333333,0.8023305555555555,0.8179805555555555
MR,0.16379999999999997,0.3238861111111111,0.3352249999999999,0.33844444444444444,0.21591944444444436,0.48230277777777775,0.5167277777777779,0.4463333333333335,0.47172777777777775,0.34250277777777777,0.44445277777777775,0.5958111111111113,0.5954305555555556
PSM,0.23812499999999998,0.33368333333333333,0.3164694444444444,0.34826111111111113,0.12451111111111107,0.3877277777777779,0.4158694444444445,0.39474722222222225,0.4123,0.36328611111111114,0.42141111111111124,0.3950083333333334,0.4306722222222223
RS,0.2547916666666666,0.4017277777777778,0.3919472222222222,0.4184250000000001,0.26508333333333334,0.43307500000000004,0.4821722222222222,0.45252499999999996,0.43753611111111096,0.41593888888888875,0.4648722222222223,0.7448638888888888,0.7707694444444444
SF,0.20084444444444438,0.6751472222222223,0.6857305555555556,0.6291944444444445,0.4728388888888889,0.7322138888888888,0.7912138888888889,0.5073777777777777,0.515938888888889,0.700688888888889,0.682025,0.822536111111111,0.8284777777777776
SPC,0.391225,0.6409666666666665,0.6192888888888888,0.6383222222222222,0.41059722222222217,0.7078138888888886,0.7762805555555554,0.5901666666666665,0.5891499999999998,0.6456333333333331,0.672786111111111,0.8547361111111113,0.8664305555555555
USC,0.146725,0.18851666666666655,0.19877499999999998,0.23578055555555552,0.10315555555555553,0.2538416666666666,0.29095,0.22297777777777772,0.22846111111111106,0.19884166666666658,0.2537916666666666,0.3716777777777778,0.3739583333333334
Avg,0.26558055555555554,0.4637527777777778,0.46113333333333334,0.47706767676767675,0.3037886363636364,0.5577565656565656,0.6209984848484849,0.4973962121212121,0.4947871212121212,0.4824646464646465,0.5521025252525252,0.7010348484848484,0.7122472222222223
