Sequence,DELF [kp:2048; match:nn],SIFT + GeoDesc [kp:2048; match:nn],SIFT + HardNet [kp:2048; match:nn],SIFT + Scale-invariant desc. (L) [kp:2048; match:nn],SIFT (OpenCV) [kp:2048; match:nn],Superpoint (nn matcher) [kp:2048; match:nn],Superpoint (1:1 matcher) [kp:2048; match:nn1to1],SuperPoint (default) [kp:2048; match:nn],SuperPoint [kp:2048; match:nn],SIFT + Scale-invariant desc. (C) [kp:2048; match:nn],SuperPoint (trained on coco + phototourism training set) [kp:2048; match:nn],SuperPoint + Custom Matcher (v1) [kp:2048; match:custom],SuperPoint + Custom Matcher (v2) [kp:2048; match:custom]
BM,0.07649826140314993,0.07077111883820822,0.07527101656780527,0.07956637349151155,0.05583964000818163,0.07261198609122521,0.08652076089179792,0.08038453671507466,0.08140724074452854,0.07445285334424218,0.07711188382082225,0.0924524442626304,0.1082020863162201
FCS,0.024741340530814213,0.020242914979757085,0.02451641925326136,0.01979307242465137,0.011246063877642825,0.02834008097165992,0.04183535762483131,0.029689608636977057,0.028789923526765633,0.023616734143049933,0.02451641925326136,0.042735042735042736,0.04228520017993702
LMS,0.03666443103062821,0.02638050525374469,0.025486250838363513,0.03286384976525822,0.012743125419181756,0.06438631790744467,0.08249496981891348,0.054325955734406434,0.06438631790744466,0.02928683210373351,0.0518667560921082,0.04985468365750055,0.04739548401520233
LB,0.05083565459610028,0.030988857938718663,0.030292479108635098,0.06267409470752089,0.032729805013927575,0.06720055710306407,0.0766016713091922,0.07764623955431754,0.06963788300835655,0.037952646239554313,0.0644150417827298,0.13231197771587744,0.14658774373259054
MC,0.03638211382113821,0.029268292682926828,0.03231707317073171,0.037804878048780494,0.01686991869918699,0.042886178861788624,0.055081300813008126,0.03983739837398374,0.04288617886178862,0.03333333333333333,0.04390243902439024,0.05711382113821138,0.05955284552845529
MR,0.01831578947368421,0.018526315789473686,0.01263157894736842,0.019999999999999997,0.012842105263157896,0.01263157894736842,0.01894736842105263,0.013473684210526315,0.013894736842105264,0.01831578947368421,0.014526315789473686,0.03621052631578947,0.041473684210526315
PSM,0.023635477582846003,0.02387914230019493,0.019736842105263157,0.023148148148148147,0.01608187134502924,0.02850877192982456,0.03386939571150097,0.02948343079922027,0.02850877192982456,0.01705653021442495,0.027046783625730993,0.03630604288499025,0.04117933723196881
RS,0.02765855984740105,0.04482594182164998,0.04482594182164997,0.0486409155937053,0.03338102050548403,0.04387219837863615,0.05627086313781593,0.04768717215069146,0.04196471149260849,0.039580352885073916,0.042441583214115404,0.07963757749165475,0.09537434430138292
SF,0.01991701244813278,0.026348547717842324,0.02946058091286307,0.02946058091286307,0.013485477178423237,0.04087136929460581,0.05062240663900415,0.03547717842323651,0.03609958506224066,0.031742738589211617,0.03091286307053942,0.0441908713692946,0.0487551867219917
SPC,0.016711928138709004,0.014414038019636515,0.014831836223104241,0.020263212868184666,0.009191560476289952,0.019427616461249218,0.029245874242740756,0.01712972634217673,0.01817422185084604,0.015249634426571965,0.018592020054313766,0.042197618550240235,0.03989972843116775
USC,0.025214321734745335,0.038577912254160365,0.041099344427634896,0.045890065557236515,0.031013615733736764,0.03530005042864347,0.03983862834089763,0.030509329299041855,0.03177004538577912,0.04059505799293999,0.03303076147251639,0.03605648008068583,0.03328290468986384
Avg,0.03241589914612266,0.03129305341784667,0.031860851216061886,0.0381913810470782,0.0223112912291129,0.041457882397773656,0.051938963359159554,0.041422205476332054,0.04159269241929892,0.03283477297689272,0.038942078836363775,0.05900609874562887,0.06399895866902788
