Sequence,DELF [kp:256; match:nn],SuperPoint [kp:256; match:nn]
BM,0.06258948660257721,0.06606668030272039
FCS,0.009446693657219972,0.013270355375618534
LMS,0.021462105969148222,0.022132796780684104
LB,0.017757660167130918,0.07103064066852369
MC,0.02378048780487805,0.024796747967479674
MR,0.004,0.010526315789473684
PSM,0.023635477582846003,0.028265107212475632
RS,0.027658559847401048,0.039103481163567
SF,0.005601659751037344,0.016804979253112032
SPC,0.013369542510967202,0.010444955086693127
USC,0.029752899646999495,0.03656076651538073
Avg,0.021732233958200498,0.03081843873779351
