Sequence,AKAZE (OpenCV) [kp:8000; match:nn],SphereDesc [kp:8000; match:nn],D2-Net (single scale) [kp:8000; match:nn],D2-Net (multiscale) [kp:8000; match:nn],ORB (OpenCV) [kp:8000; match:nn],SIFT-AID [kp:8000; match:sift-aid],SIFT + GeoDesc [kp:8000; match:nn],SIFT + HardNet [kp:8000; match:nn],SIFT + L2-Net [kp:8000; match:nn],SIFT (OpenCV) [kp:8000; match:nn],SIFT + TFeat [kp:8000; match:nn],SuperPoint [kp:8000; match:nn],SURF (OpenCV) [kp:8000; match:nn]
BM,0.05583964000818163,0.07547555737369605,0.07793004704438536,0.07977091429740234,0.05011249744323993,0.06381673143792187,0.0750664757619145,0.08099815913274698,0.08345264880343628,0.05481693597872775,0.07363469012067908,0.07813458785027613,0.04377173246062589
FCS,0.013270355375618534,0.03328834907782276,0.03351327035537562,0.037561853351327036,0.008547008547008546,0.011695906432748537,0.026315789473684213,0.029464687359424202,0.026540710751237068,0.0155195681511471,0.02496626180836707,0.03216374269005848,0.008771929824561403
LMS,0.017661524703778225,0.04493628437290409,0.08674267829197406,0.09210820478426113,0.007154035323049408,0.00558909009613235,0.03912363067292645,0.06147999105745585,0.04381846635367762,0.01676727028839705,0.03286384976525822,0.06528057232282584,0.013637379834562932
LB,0.05745125348189415,0.05083565459610028,0.06162952646239554,0.0665041782729805,0.02332869080779944,0.02681058495821727,0.046309192200557105,0.047701949860724235,0.04387186629526463,0.041434540389972144,0.04944289693593315,0.0483983286908078,0.027158774373259052
MC,0.020731707317073172,0.04715447154471544,0.04715447154471545,0.048170731707317074,0.010975609756097562,0.02215447154471545,0.03922764227642277,0.05447154471544716,0.04573170731707317,0.022560975609756097,0.04186991869918699,0.03943089430894309,0.021341463414634144
MR,0.011157894736842106,0.01894736842105263,0.022315789473684212,0.02568421052631579,0.007368421052631579,0.01073684210526316,0.01768421052631579,0.019789473684210527,0.022105263157894735,0.015789473684210527,0.019368421052631576,0.01031578947368421,0.01073684210526316
PSM,0.020955165692007796,0.02168615984405458,0.03167641325536062,0.03070175438596491,0.01583820662768031,0.013401559454191032,0.02387914230019493,0.02412280701754386,0.024366471734892786,0.020224171539961013,0.022417153996101363,0.031432748538011694,0.019736842105263157
RS,0.03290414878397711,0.049117787315212214,0.04196471149260849,0.04339532665712924,0.03242727706247019,0.0324272770624702,0.04291845493562232,0.0486409155937053,0.04911778731521221,0.04005722460658083,0.04673342870767763,0.04101096804959466,0.03481163567000477
SF,0.013900414937759335,0.04273858921161826,0.043153526970954356,0.03983402489626556,0.00975103734439834,0.012863070539419088,0.031742738589211617,0.040248962655601656,0.03858921161825726,0.015560165975103735,0.026556016597510373,0.03402489626556017,0.008506224066390042
SPC,0.010236055984959264,0.025276791309797368,0.02444119490286192,0.030917067056611656,0.007938165865886776,0.009191560476289952,0.015876331731773552,0.020054313766450803,0.01963651556298308,0.011280551493628577,0.016294129935241278,0.01796532274911218,0.006893670357217463
USC,0.06278366111951589,0.033787191124558746,0.03656076651538073,0.04387291981845688,0.03429147755925366,0.031265758951084216,0.04589006555723651,0.040595057992939984,0.04286434694906707,0.05042864346949067,0.038073625819465454,0.02723146747352496,0.03605648008068583
Avg,0.028808347467418838,0.040294927653775674,0.046098399664517856,0.04895647143218474,0.018884766126319612,0.021813895732586647,0.03673033400235088,0.042506169348750046,0.04000863598718145,0.02767632010790686,0.03565639940345929,0.03867175621930902,0.02103845220840617
